taxa,ISW
PI157487A,-0.397943995
PI175189,-0.932708262
PI189867,-0.116919962
PI243533,0.516580038
PI273483E,0.34804416
PI295947,-1.435919962
PI306702C,-0.400655696
PI323566,-1.114208262
PI340011,1.354844304
PI358321C,-0.703208262
PI391581B,-0.626335899
PI398473,-0.016124198
PI399020,-0.345835899
PI408319A,0.171164101
PI408336,-0.024655696
PI417394,0.307291738
PI423823,1.570791738
PI424605B,-0.095335899
PI437388,-1.070708262
PI438025,-0.624835899
PI458022,0.064056005
PI458061B,-0.459208262
PI458072B,-0.142124198
PI458175A,0.244375802
PI458175C,0.504375802
PI458244A,0.222664101
PI458525,-0.799708262
PI464915B,-0.742636043
PI507132B,-0.493124198
PI508296E,0.345056005
PI518291C,-1.140655696
PI548227,-0.692335899
PI548439,-0.953335899
PI553048,-0.910208262
PI567121B,-1.049335899
PI567404F,-0.196708262
PI567491B,-1.217124198
PI567602B,-0.388443995
PI567767A,0.354556005
PI567767D,-0.223335899
PI578307B,-1.235943995
PI578316A,-1.148708262
PI587697,0.199791738
PI587998D,-0.982443995
PI594608A,-0.123919962
PI594608B,0.025791738
PI602447,-0.891208262
PI603337B,-1.073655696
PI603444B,-0.84345584
PI603444D,-1.308419962
PI603571A,0.220363957
PI603571C,-0.010835899
PI603915A,-0.385919962
PI605743B,-0.822624198
PI613559D,-0.083208262
PI632663B,-0.644708262
PI175197,-1.258155696
PI253653A,0.304664101
PI283327,-0.494835899
PI306702B,-0.812708262
PI358318A,0.974664101
PI358318B,-0.351208262
PI398262,-0.682835899
PI398368,-0.893124198
PI398902,0.807556005
PI398949,-0.097220107
PI398955,-0.753708262
PI404191,-0.689919962
PI407923,0.644344304
PI408076B,1.595291738
PI408139,-0.052443995
PI416871,-0.254443995
PI417093,-0.958835899
PI417245,0.170556005
PI423705,-0.728419962
PI424145,1.112164101
PI424164B,0.105291738
PI424560,-0.644708262
PI437882A,-0.378636043
PI458236A,-0.19495584
PI464910,-1.519708262
PI486355,-0.934220107
PI504486,-0.527708262
PI506826,1.068791738
PI511866,-0.787708262
PI567070C,-0.934943995
PI567414,-0.506419962
PI567611,-0.796208262
PI567629B,-0.139624198
PI567646A,0.09104416
PI567681,-0.345335899
PI567759,-1.186155696
PI578307A,-1.424208262
PI587997B,-0.433335899
PI588029,-0.492155696
PI594170A,-1.006443995
PI603337A,-1.09795584
PI603445A,0.081080038
PI628825,-0.427335899
PI319530,0.34154416
PI323561,-1.327208262
PI398726,0.49904416
PI398972,-0.826155696
PI407861A,-0.019419962
PI424214C,0.475363957
PI438507C,-1.397455592
PI445683,-1.254835899
PI445796,-0.751708262
PI458040,1.416664101
PI464901,-0.338708262
PI506728,0.017056005
PI506787,-0.247655696
PI507437,-0.538835899
PI507686A,-0.037835899
PI507686B,-0.141943995
PI512322C,-0.197443995
PI518291B,-0.192335899
PI548568,-0.900708262
PI549030B,-1.214335899
PI556949,-1.098943995
PI567352A,-1.412419962
PI567352B,-0.572720107
PI567432B,-0.908443995
PI567602A,-0.597124198
PI567767C,0.221844304
PI578318B,-0.89195584
PI587998A,-0.559419962
PI587998C,-0.486443995
PI592907A,-1.014155696
PI592912A,0.112056005
PI597394,-0.019655696
PI603412A,-0.572155696
PI603424B,-0.651708262
PI603424C,-0.42945584
PI603424D,-1.202419962
PI603601,0.759791738
PI603742B,-0.394335899
PI603742D,0.022791738
PI603915B,-1.309919962
PI605743A,-0.74995584
PI605825B,-0.989835899
PI613559E,-0.240624198
PI632663A,-0.264419962
PI157414,0.520164101
PI157450,0.523080038
PI157482,0.885875802
PI398194,-0.46995584
PI398217,-0.893708262
PI398229,-0.139720107
PI398341,0.284279893
PI398370,0.079363957
PI398576,-1.029136043
PI398714,-1.058220107
PI398745,-0.036624198
PI398870,-0.483136043
PI398937,-0.978792804
PI398951,-0.000624198
PI399002,0.25754416
PI399003,-0.020624198
PI399017,0.660363957
PI399038,-0.017124198
PI399057,-0.681220107
PI399107,-0.26795584
PI407794,-1.098835899
PI407833C,-0.493136043
PI407876,-0.328720107
PI407941A,-0.781919962
PI408015,-0.294220107
PI408081,-0.62445584
PI408134A,-0.982124198
PI408185,-0.260636043
PI408272B,-0.517575893
PI423817,-0.246708262
PI423840,-0.49195584
PI423844,-0.075136043
PI424214A,0.544164101
PI424273A,0.230363957
PI424325,-1.041624198
PI458048,0.941520718
PI458091,-0.38695584
PI458185,-0.83245584
PI458203B,0.700363957
PI458226,-0.292720107
PI506716,-0.103636043
PI507528,0.384779893
PI509105,-0.441655696
PI532466B,-1.132136043
PI603159,0.25404416
PI157397,0.304556005
PI157451,-0.176943995
PI157454,0.460844304
PI157483,0.093279893
PI196170,-0.180208262
