Taxa,Population
PI157487A,C2.GRIN
PI175189,C2.GRIN
PI189867,C2.GRIN
PI243533,C2.GRIN
PI273483E,C2.GRIN
PI295947,C2.GRIN
PI306702C,C2.GRIN
PI323566,C2.GRIN
PI340011,C2.GRIN
PI358321C,C2.GRIN
PI391581B,C2.GRIN
PI398473,C2.GRIN
PI399020,C2.GRIN
PI408319A,C2.GRIN
PI408336,C2.GRIN
PI417394,C2.GRIN
PI423823,C2.GRIN
PI424605B,C2.GRIN
PI437388,C2.GRIN
PI438025,C2.GRIN
PI458022,C2.GRIN
PI458061B,C2.GRIN
PI458072B,C2.GRIN
PI458175A,C2.GRIN
PI458175C,C2.GRIN
PI458244A,C2.GRIN
PI458525,C2.GRIN
PI464915B,C2.GRIN
PI507132B,C2.GRIN
PI508296E,C2.GRIN
PI518291C,C2.GRIN
PI548227,C2.GRIN
PI548439,C2.GRIN
PI553048,C2.GRIN
PI567121B,C2.GRIN
PI567404F,C2.GRIN
PI567491B,C2.GRIN
PI567602B,C2.GRIN
PI567767A,C2.GRIN
PI567767D,C2.GRIN
PI578307B,C2.GRIN
PI578316A,C2.GRIN
PI587697,C2.GRIN
PI587998D,C2.GRIN
PI594608A,C2.GRIN
PI594608B,C2.GRIN
PI602447,C2.GRIN
PI603337B,C2.GRIN
PI603444B,C2.GRIN
PI603444D,C2.GRIN
PI603571A,C2.GRIN
PI603571C,C2.GRIN
PI603915A,C2.GRIN
PI605743B,C2.GRIN
PI613559D,C2.GRIN
PI632663B,C2.GRIN
PI175197,C2.GRIN
PI253653A,C2.GRIN
PI283327,C2.GRIN
PI306702B,C2.GRIN
PI358318A,C2.GRIN
PI358318B,C2.GRIN
PI398262,C2.GRIN
PI398368,C2.GRIN
PI398902,C2.GRIN
PI398949,C2.GRIN
PI398955,C2.GRIN
PI404191,C2.GRIN
PI407923,C2.GRIN
PI408076B,C2.GRIN
PI408139,C2.GRIN
PI416871,C2.GRIN
PI417093,C2.GRIN
PI417245,C2.GRIN
PI423705,C2.GRIN
PI424145,C2.GRIN
PI424164B,C2.GRIN
PI424560,C2.GRIN
PI437882A,C2.GRIN
PI458236A,C2.GRIN
PI464910,C2.GRIN
PI486355,C2.GRIN
PI504486,C2.GRIN
PI506826,C2.GRIN
PI511866,C2.GRIN
PI567070C,C2.GRIN
PI567414,C2.GRIN
PI567611,C2.GRIN
PI567629B,C2.GRIN
PI567646A,C2.GRIN
PI567681,C2.GRIN
PI567759,C2.GRIN
PI578307A,C2.GRIN
PI587997B,C2.GRIN
PI588029,C2.GRIN
PI594170A,C2.GRIN
PI603337A,C2.GRIN
PI603445A,C2.GRIN
PI628825,C2.GRIN
PI319530,C2.GRIN
PI323561,C2.GRIN
PI398726,C2.GRIN
PI398972,C2.GRIN
PI407861A,C2.GRIN
PI424214C,C2.GRIN
PI438507C,C2.GRIN
PI445683,C2.GRIN
PI445796,C2.GRIN
PI458040,C2.GRIN
PI464901,C2.GRIN
PI506728,C2.GRIN
PI506787,C2.GRIN
PI507437,C2.GRIN
PI507686A,C2.GRIN
PI507686B,C2.GRIN
PI512322C,C2.GRIN
PI518291B,C2.GRIN
PI548568,C2.GRIN
PI549030B,C2.GRIN
