taxa,ISW
FC31918,-0.069875046
PI65342,0.410374829
PI80479,-0.796728833
PI80831,-0.375063635
PI81766,-0.806497214
PI82184S,-0.110063635
PI82210,0.523502786
PI82286,-0.224625171
PI82307,0.780124954
PI82554,1.246399124
PI82581,-0.387959972
PI83874,0.318271167
PI83889,1.064936365
PI83923,-0.066337805
PI85272,2.344936365
PI87013,0.524936365
PI87561,0.361996997
PI87575,0.210124954
PI88292,-0.119625171
PI88788,-0.160063635
PI88816S,0.811996997
PI90220,-0.039875046
PI90241,-0.288003003
PI90563,0.100374829
PI91073,-0.156337805
PI91164,-0.623003003
PI91679,0.533271167
PI91731-1,-0.223003003
PI92743,0.503271167
PI95887,0.663271167
PI96093,0.400374829
PI96550,1.065124954
PI105579,0.429936365
PI157402,-0.441497214
PI157421,-0.855063635
PI157428,1.248662195
PI157438,-0.365063635
PI157441,0.085124954
PI157445,0.751996997
PI157447,0.293502786
PI157449,1.067040028
PI157458,1.181996997
PI157460,0.865124954
PI157462,-0.116497214
PI157470,0.212040028
PI157471,1.236399124
PI157472,-0.221337805
PI157477,0.823271167
PI165583,-0.848003003
PI175183,-0.831497214
PI175186,-0.745063635
PI175187,-0.861497214
PI189939,-0.778003003
PI192871,-0.188600876
PI196167,0.980374829
PI196168,0.493662195
PI196171,0.331399124
PI196172,-0.859625171
PI196175,0.032040028
PI200472,-0.173600876
PI200524,0.713271167
PI215688,-0.635063635
PI232988,-1.040063635
PI232989,-1.011728833
PI266807C,-0.574161978
PI297543,0.268502786
PI323568,-0.783003003
PI323573,-0.895063635
PI323575,-0.773003003
PI323577,-1.029625171
PI339866,0.883502786
PI339980,-0.733003003
PI339982,0.388271167
PI340032,0.943271167
PI342002,1.173502786
PI358321A,-0.429875046
PI361062A,-0.154875046
PI391585,0.228271167
PI398234,1.454936365
PI398263,0.625838022
PI398295,0.906399124
PI398323,-0.684875046
PI398330,0.939936365
PI398334,-0.728003003
PI398358,1.258502786
PI398413,-0.178003003
PI398534,0.236960225
PI398699,0.044034709
PI398722,-0.436728833
PI398725,-0.318003003
PI398743,0.175124954
PI398779,0.332040028
PI398786,0.590704312
PI398795,-0.935965291
PI398799,0.648502786
PI398851,-0.446728833
PI398861,-0.650063635
PI398915,0.320374829
PI398971,0.728502786
PI398999,0.290124954
PI399005,0.821996997
PI399022,0.905374829
PI399042,0.550374829
PI399048,1.824936365
PI399052,-0.435063635
PI399053,1.508502786
PI399065,0.480124954
PI399071,0.754936365
PI399086,-0.559295688
PI399096,-0.433003003
PI399113,0.350045347
PI399122,-0.207959972
PI404166,-0.144875046
PI407773A,-0.062959972
PI407779,-0.249875046
PI407789,-0.419875046
PI407813,-0.576337805
PI407819,-0.934625171
PI407836,-0.491728833
PI407839-1,-0.719295688
PI407841,-0.349295688
PI407844,0.090704312
PI407857,0.489936365
PI407861C,1.230045347
PI407865,-0.331337805
PI407922,0.320045347
PI407949,0.715374829
PI407968,-0.080063635
PI407972C,0.353271167
PI407976B,0.465374829
PI407987,-0.749295688
PI407988A,-0.059625171
PI407994,0.489936365
PI407996,0.781399124
PI408000,0.536960225
PI408027,-0.194625171
PI408090,0.883289682
PI408131A,0.775124954
PI408134B,-0.330063635
PI408159,-0.435965291
PI408186A,0.617040028
PI408198,0.806399124
PI408208,0.108502786
PI408221B,-0.550063635
PI408293-2,-0.455063635
PI416838,0.220124954
PI416839,0.886399124
PI416934,1.108502786
PI416954,-0.161497214
PI416960,0.224936365
PI417019,0.543662195
PI417221,0.793662195
PI417229,0.691399124
PI417400,0.996996997
PI423728B,-0.480063635
PI423743B,1.715374829
PI423779,-0.426728833
PI423783,-0.187959972
PI423789,-0.133039775
PI423808B,0.343289682
PI423820,-0.808600876
PI423825,1.063502786
PI423826A,0.245124954
PI423826B,0.386399124
PI423856,1.471996997
PI424143,0.650374829
PI424144,-0.701728833
