taxa,ISW
PI398349,0.07298
PI408310A,-0.03952
PI424220A,0.1033
PI273483A,0.2367
PI273483B,-0.1137
PI273484,-0.09374
PI274205,0.1479
PI274206,0.05664
PI274207,-0.09785
PI274208,-0.0765
PI274210,0.1621
PI274211,-0.1748
PI274212,-0.1874
PI339734,-0.4972
PI339736,-0.3996
PI339864A,-0.1833
PI339865A,0.1166
PI339865B,-0.1746
PI339868A,-0.3738
PI339868B,-0.411
PI339977,0.1119
PI339987,-0.01374
PI339990,0.1506
PI339991,0.09446
PI339993,0.0377
PI339994,0.2237
PI339995,-0.1374
PI339997,0.0654
PI340005,-0.04048
PI340007,0.03871
PI340012,-0.07433
PI340015,-0.1588
PI340018,0.000083
PI340020,0.2736
PI340021A,-0.06654
PI340031A,0.1041
PI340034,0.01061
PI340036,0.03998
PI340037,-0.1122
PI340038,-0.1244
PI340046,-0.08912
PI340047,0.02294
PI340048,0.02025
PI340049,-0.1358
PI340053A,-0.03184
PI340053B,0.0756
PI361101,-0.1899
PI372415B,-0.04659
PI398181,0.1232
PI398182,0.05518
PI398185,-0.03366
PI398188,0.1773
PI398190,-0.09199
PI398197,0.3819
PI398199,-0.13
PI398200,0.1414
PI398201,0.5128
PI398202,-0.05785
PI398204,0.05935
PI398205,0.005585
PI398208,0.003917
PI398211,0.2337
PI398222,0.06796
PI398223,0.1673
PI398224,-0.303
PI398225,-0.2364
PI398226,0.1196
PI398227,-0.03275
PI398230,-0.1778
PI398231,-0.1157
PI398232,0.04326
PI398233,0.05015
PI398236,-0.177
PI398237,0.1001
PI398244,0.06697
PI398247,-0.1641
PI398250,-0.153
PI398251,-0.1123
PI398256,0.2533
PI398257,0.08481
PI398260,0.1823
PI398265,-0.00178
PI398268,-0.103
PI398270,0.06116
PI398271,-0.1169
PI398273,-0.1155
PI398274,-0.1401
PI398278,0.3484
PI398282,-0.08208
PI398283,0.0426
PI398290,-0.02725
PI398291,0.09141
PI398293,0.5084
PI398294,0.1477
PI398297,-0.0103
PI398300,-0.03139
PI398305,0.01695
PI398306,0.3078
PI398310,-0.01815
PI398312,0.0446
PI398313,0.203
PI398314,0.3651
PI398315,-0.2441
PI398319,0.2325
PI398320,0.4675
PI398321,0.1287
PI398322,0.2043
PI398325,-0.02488
PI398326,0.07352
PI398327,-0.01542
